Fecha,AMZN_Close,AMZN_Volume,AMD_Close,AMD_Volume,AAPL_Close,AAPL_Volume,ASML_Close,ASML_Volume,BRKb_Close,BRKb_Volume,KO_Close,KO_Volume,JPM_Close,JPM_Volume,MA_Close,MA_Volume,META_Close,META_Volume,MSFT_Close,MSFT_Volume,NESN_Close,NESN_Volume,NVDA_Close,NVDA_Volume,PG_Close,PG_Volume,PM_Close,PM_Volume,TSM_Close,TSM_Volume,NNND_Close,NNND_Volume,TSLA_Close,TSLA_Volume,TM_Close,TM_Volume,V_Close,V_Volume,WMT_Close,WMT_Volume
2024-05-07,188.76,34050000.0,154.43,37370000.0,182.4,77310000.0,908.22,655000.0,406.14,3090000.0,,,191.75,7690000.0,453.06,2350000.0,468.24,13410000.0,409.34,20020000.0,92.16,3210000.0,90.55,437340000.0,165.76,6430000.0,97.53,3960000.0,141.11,8680000.0,365.8,19410000.0,177.81,75050000.0,231.26,248940.0,276.46,6380000.0,60.62,14520000.0
2024-05-08,188.0,26140000.0,153.62,28730000.0,182.74,45060000.0,911.47,555750.0,406.37,2400000.0,,,195.65,9230000.0,454.77,2330000.0,472.6,11680000.0,410.54,11790000.0,94.2,4430000.0,90.41,325720000.0,165.07,4580000.0,98.25,5780000.0,143.6,10200000.0,361.4,20060000.0,174.72,79970000.0,231.78,371660.0,277.19,9030000.0,60.3,11020000.0
2024-05-09,189.5,43370000.0,152.39,33020000.000000004,184.57,48980000.0,913.54,755990.0,408.82,2360000.0,,,197.5,7980000.0,455.49,1970000.0,475.42,9440000.0,412.32,14690000.0,,,88.75,378010000.0,166.04,4670000.0,99.46,3840000.0,142.79,8010000.0,369.8,16030000.000000002,171.97,65950000.0,227.24,329110.0,278.54,8950000.0,60.44,14550000.0
2024-05-10,187.48,34140000.0,151.92,37650000.0,183.05,50760000.0,930.29,814080.0,412.05,3090000.0,,,198.77,7530000.0,456.98,1730000.0,476.2,10750000.0,414.74,13400000.0,95.18,4130000.0,89.88,335320000.0,166.85,4880000.0,99.66,4150000.0000000005,149.26,23670000.0,371.0,15690000.0,168.47,72630000.0,218.78,563940.0,280.74,8990000.0,60.48,12360000.0
2024-05-13,186.57,24900000.0,150.56,27860000.0,186.28,72040000.0,917.24,745780.0,411.22,2710000.0,,,198.73,7050000.0,457.76,2069999.9999999998,468.01,14670000.0,413.72,15440000.0,95.0,3780000.0,90.4,289680000.0,165.87,5730000.0,99.29,3850000.0,146.41,8279999.999999999,378.2,20560000.0,171.89,67019999.99999999,215.64,466170.0,279.39,10530000.0,60.41,19260000.0
2024-05-14,187.07,38700000.0,153.16,31940000.0,187.43,52390000.0,915.03,592140.0,410.24,2670000.0,,,201.51,8600000.0,454.2,2990000.0,471.85,10480000.0,416.56,15110000.0,94.64,3430000.0,91.36,296510000.0,165.76,6010000.0,99.84,3290000.0,151.95,12320000.0,381.8,21600000.0,177.55,86410000.0,217.12,268660.0,277.74,18530000.0,59.86,18780000.0
2024-05-15,185.99,75460000.0,159.67,43200000.0,189.72,70400000.0,937.42,883000.0,412.76,2860000.0,,,202.11,8369999.999999999,458.0,2440000.0,481.54,13100000.0,423.08,22240000.0,95.54,4080000.0,94.63,417740000.0,166.51,5100000.0,100.57,3230000.0,155.58,14030000.0,,,173.99,79660000.0,219.55,280880.0,281.5,21290000.0,59.83,22240000.0
2024-05-16,183.63,38830000.0,162.62,76730000.0,189.84,52850000.0,919.54,811170.0,413.12,3550000.0,,,202.47,8500000.0,458.87,2410000.0,473.23,16610000.0,420.99,17530000.0,95.42,3970000.0,94.36,323950000.0,167.86,6790000.0,100.66,4420000.0,152.23,13390000.0,397.0,58430000.0,174.84,59810000.0,215.63,296810.0,279.84,10340000.0,64.01,60550000.0
2024-05-17,184.7,33180000.0,164.47,65940000.0,189.87,41280000.0,924.97,703790.0,416.94,2990000.0,,,204.79,9260000.0,460.27,1990000.0,471.91,10810000.0,420.21,15350000.0,96.62,5110000.0,92.48,359690000.0,167.64,4700000.0,99.83,5310000.0,151.68,7710000.0,395.0,27920000.0,177.46,77450000.0,219.76,265730.0,280.1,6180000.0,64.65,29330000.0
2024-05-20,183.54,30510000.0,166.33,45620000.0,191.04,44360000.0,939.44,669310.0,413.0,3290000.0,,,195.58,17370000.0,459.66,1400000.0,468.84,11750000.0,425.34,16270000.0,,,94.78,318760000.0,167.31,3800000.0,99.59,5340000.0,153.55,9260000.0,395.0,22330000.0,174.95,61730000.0,220.5,175500.0,278.54,5460000.0,64.18,15000000.0
2024-05-21,183.15,50840000.0,164.66,30010000.0,192.35,42310000.0,925.27,746430.0,414.37,2740000.0,,,199.52,14420000.0,459.1,2170000.0,464.63,11740000.0,429.04,21450000.0,95.3,3660000.0,95.39,328950000.0,168.35,5150000.0,100.23,6200000.0,153.67,7920000.0,383.6,30680000.0,186.6,115270000.0,219.36,145590.0,275.95,6580000.0,65.15,17130000.0
2024-05-22,183.13,28150000.0,165.52,47430000.0,190.9,34650000.0,922.33,668650.0,413.99,2670000.0,,,198.31,9430000.0,456.52,1710000.0,467.78,10080000.0,430.52,18070000.0,95.06,3010000.0,94.95,548650000.0,167.81,4540000.0,101.07,4410000.0,156.15,13460000.0,384.4,22370000.0,180.11,88310000.0,216.63,166510.0,275.58,4200000.0,65.25,14880000.0
2024-05-23,181.05,33670000.0,160.43,91890000.0,186.88,51010000.0,934.25,1360000.0,405.88,3400000.0,,,196.92,8070000.0,451.21,2080000.0,465.78,11750000.0,427.0,17210000.0,93.3,4220000.0,103.8,835070000.0,165.49,4730000.0,99.65,4570000.0,157.09,20870000.0,381.8,18320000.0,173.74,71980000.0,214.72,260810.0,274.23,6120000.0,64.84,16219999.999999998
